ruleset,trials,performance
untrained,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.099609375, 0.0972900390625, 0.11279296875, 0.0999755859375, 0.10302734375, 0.102294921875, 0.112548828125, 0.1085205078125, 0.103759765625, 0.1072998046875, 0.108642578125, 0.103759765625, 0.1146240234375, 0.1063232421875, 0.1060791015625, 0.104736328125, 0.0986328125, 0.108154296875, 0.1046142578125, 0.10791015625, 0.105224609375, 0.09619140625, 0.1065673828125, 0.0965576171875, 0.0968017578125, 0.103271484375, 0.1009521484375, 0.1051025390625, 0.0992431640625, 0.0982666015625]"
untrained,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.09912109375, 0.1072998046875, 0.1072998046875, 0.1002197265625, 0.104736328125, 0.1143798828125, 0.10595703125, 0.11669921875, 0.1102294921875, 0.1123046875, 0.1094970703125, 0.1082763671875, 0.1065673828125, 0.1064453125, 0.10205078125, 0.103515625, 0.097900390625, 0.0968017578125, 0.1116943359375, 0.0972900390625, 0.106201171875, 0.0960693359375, 0.099365234375, 0.1021728515625, 0.10205078125, 0.0977783203125, 0.095703125, 0.1014404296875, 0.09716796875]"
untrained,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.1016845703125, 0.0972900390625, 0.1007080078125, 0.0985107421875, 0.10791015625, 0.1058349609375, 0.0980224609375, 0.1046142578125, 0.1031494140625, 0.1077880859375, 0.1092529296875, 0.103271484375, 0.1087646484375, 0.1124267578125, 0.1007080078125, 0.1021728515625, 0.101318359375, 0.0960693359375, 0.099365234375, 0.09765625, 0.105712890625, 0.103515625, 0.09716796875, 0.102783203125, 0.095458984375, 0.09716796875, 0.103759765625, 0.098876953125, 0.0992431640625, 0.105712890625]"
untrained,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.0604248046875, 0.09228515625, 0.0947265625, 0.1009521484375, 0.0968017578125, 0.0943603515625, 0.10107421875, 0.10302734375, 0.1021728515625, 0.100830078125, 0.1016845703125, 0.1075439453125, 0.10693359375, 0.1053466796875, 0.1043701171875, 0.103759765625, 0.0947265625, 0.105712890625, 0.1072998046875, 0.109375, 0.0982666015625, 0.1021728515625, 0.106689453125, 0.110107421875, 0.1016845703125, 0.107177734375, 0.1036376953125, 0.1126708984375, 0.1019287109375]"
pro_small,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.1097412109375, 0.1033935546875, 0.1055908203125, 0.10302734375, 0.1107177734375, 0.3121337890625, 0.717041015625, 0.8372802734375, 0.837646484375, 0.8624267578125, 0.893798828125, 0.898193359375, 0.8951416015625, 0.90673828125, 0.9248046875, 0.92919921875, 0.9359130859375, 0.9544677734375, 0.9534912109375, 0.9697265625, 0.9561767578125, 0.9638671875, 0.9691162109375, 0.9730224609375, 0.9779052734375, 0.9754638671875, 0.96728515625, 0.9713134765625, 0.9832763671875]"
pro_small,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.1129150390625, 0.14013671875, 0.2232666015625, 0.5460205078125, 0.895263671875, 0.9063720703125, 0.8956298828125, 0.9193115234375, 0.9169921875, 0.9163818359375, 0.9273681640625, 0.9412841796875, 0.9439697265625, 0.945068359375, 0.9595947265625, 0.9617919921875, 0.9710693359375, 0.98046875, 0.97314453125, 0.9705810546875, 0.9749755859375, 0.9827880859375, 0.9820556640625, 0.9813232421875, 0.9793701171875, 0.9832763671875, 0.980224609375, 0.986083984375, 0.9854736328125]"
pro_small,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.1021728515625, 0.106689453125, 0.0986328125, 0.100830078125, 0.0975341796875, 0.096435546875, 0.097412109375, 0.0972900390625, 0.1007080078125, 0.096923828125, 0.2393798828125, 0.2935791015625, 0.2911376953125, 0.358642578125, 0.4039306640625, 0.489990234375, 0.5452880859375, 0.61376953125, 0.6322021484375, 0.67724609375, 0.6884765625, 0.7083740234375, 0.709716796875, 0.6932373046875, 0.7451171875, 0.7498779296875, 0.7689208984375, 0.7979736328125, 0.8050537109375]"
pro_small,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.101318359375, 0.103271484375, 0.1142578125, 0.251953125, 0.44287109375, 0.703369140625, 0.7498779296875, 0.78271484375, 0.8299560546875, 0.859130859375, 0.8558349609375, 0.8868408203125, 0.9046630859375, 0.927734375, 0.9256591796875, 0.9425048828125, 0.9556884765625, 0.9615478515625, 0.9622802734375, 0.96240234375, 0.96484375, 0.97509765625, 0.9775390625, 0.9769287109375, 0.97998046875, 0.983642578125, 0.9742431640625, 0.9830322265625, 0.9774169921875]"
mem_anti_motifs,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.031005859375, 0.957763671875, 0.9884033203125, 0.9814453125, 0.9957275390625, 0.9986572265625, 0.998779296875, 0.9990234375, 0.9998779296875, 0.99951171875, 0.999755859375, 0.9989013671875, 0.999755859375, 0.9993896484375, 0.9990234375, 0.9998779296875, 0.9996337890625, 1.0, 0.999755859375, 0.9998779296875, 0.9993896484375, 0.999755859375, 0.999755859375, 0.9996337890625, 0.999755859375, 0.999755859375, 1.0, 0.9998779296875, 0.9998779296875, 0.9998779296875]"
mem_anti_motifs,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.002197265625, 0.961181640625, 0.978271484375, 0.99365234375, 0.99560546875, 0.9964599609375, 0.999267578125, 0.99951171875, 0.9998779296875, 0.999755859375, 0.999755859375, 1.0, 0.9998779296875, 0.9998779296875, 1.0, 1.0, 1.0, 0.9998779296875, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9998779296875, 1.0, 0.999755859375, 0.9998779296875, 1.0, 1.0, 1.0]"
mem_anti_motifs,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.091064453125, 0.97509765625, 0.9813232421875, 0.9945068359375, 0.99462890625, 0.9989013671875, 0.9990234375, 0.9996337890625, 0.9996337890625, 0.99853515625, 0.9993896484375, 1.0, 1.0, 0.999755859375, 0.9998779296875, 0.9998779296875, 0.999755859375, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9998779296875, 1.0, 1.0, 0.9998779296875, 1.0, 0.9998779296875, 0.999755859375, 1.0]"
mem_anti_motifs,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0179443359375, 0.9708251953125, 0.989501953125, 0.996826171875, 0.998779296875, 0.9990234375, 0.99951171875, 0.99853515625, 0.9998779296875, 1.0, 0.999755859375, 1.0, 1.0, 0.9996337890625, 1.0, 1.0, 1.0, 0.9998779296875, 1.0, 0.9998779296875, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9998779296875, 1.0, 1.0, 1.0]"
all,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.9139404296875, 0.985107421875, 0.97900390625, 0.9896240234375, 0.9947509765625, 0.99365234375, 0.995849609375, 0.99560546875, 0.998046875, 0.9969482421875, 0.9981689453125, 0.9979248046875, 0.9989013671875, 0.9990234375, 0.999267578125, 0.9989013671875, 0.999755859375, 0.9996337890625, 0.9996337890625, 0.999755859375, 0.99951171875, 0.999755859375, 0.9996337890625, 0.99951171875, 0.9996337890625, 0.999755859375, 0.9998779296875, 0.9996337890625, 1.0]"
all,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0592041015625, 0.9429931640625, 0.97216796875, 0.9892578125, 0.9910888671875, 0.99267578125, 0.996337890625, 0.9979248046875, 0.997314453125, 0.998046875, 0.9996337890625, 0.9989013671875, 0.999267578125, 0.999755859375, 0.9993896484375, 0.9996337890625, 1.0, 0.9996337890625, 0.999755859375, 0.999755859375, 0.9996337890625, 0.9996337890625, 1.0, 0.9998779296875, 1.0, 0.9998779296875, 0.9998779296875, 0.999755859375, 1.0, 0.999755859375]"
all,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0, 0.9613037109375, 0.9825439453125, 0.9906005859375, 0.9930419921875, 0.996826171875, 0.9989013671875, 0.9976806640625, 0.99658203125, 0.997802734375, 0.9981689453125, 0.9991455078125, 0.9993896484375, 0.9993896484375, 0.9998779296875, 0.999755859375, 0.999755859375, 0.9996337890625, 0.999267578125, 0.9998779296875, 0.99951171875, 0.9993896484375, 0.9998779296875, 0.9996337890625, 1.0, 1.0, 1.0, 0.999755859375, 0.9998779296875, 1.0]"
all,"[0, 64000, 128000, 192000, 256000, 320000, 384000, 448000, 512000, 576000, 640000, 704000, 768000, 832000, 896000, 960000, 1024000, 1088000, 1152000, 1216000, 1280000, 1344000, 1408000, 1472000, 1536000, 1600000, 1664000, 1728000, 1792000, 1856000]","[0.0535888671875, 0.9310302734375, 0.969970703125, 0.9866943359375, 0.9874267578125, 0.9896240234375, 0.9969482421875, 0.9979248046875, 0.99755859375, 0.9984130859375, 0.9986572265625, 0.998046875, 0.999267578125, 0.999267578125, 0.99951171875, 0.9993896484375, 0.9998779296875, 1.0, 1.0, 0.9998779296875, 0.9998779296875, 0.9998779296875, 1.0, 1.0, 1.0, 0.999755859375, 0.9998779296875, 1.0, 0.9998779296875, 0.9998779296875]"
